person_id,人名,显示名,字或号,正式称号,建议文件名
gaogong,高拱,,肃卿,内阁首辅,portrait_gaogong.png
gaogu,高谷,,世用,工部尚书,portrait_gaogu.png
gaohongtu,高弘图,,,内阁首辅,portrait_gaohongtu.png
gaoji,高𪟝,,,天兴府乡试的举人,portrait_gaoji.png
gaojie,高杰,,英吾,兴平伯,portrait_gaojie.png
gaojin,高金,,,山西承宣布政使,portrait_gaojin.png
gaomingheng,高名衡,,,如皋县知县,portrait_gaomingheng.png
gaopanlong,高攀龙,,存之、云从,士,portrait_gaopanlong.png
gaoqi,高启,,季迪,诗人,portrait_gaoqi.png
gaoshusi,高叔嗣,,,外戚,portrait_gaoshusi.png
gaoxianning,高贤宁,,,当参政,portrait_gaoxianning.png
gaoxuan,高选,,,陕西乡试第六十五名举人,portrait_gaoxuan.png
gaoyao,高瑶,,,番禺知县,portrait_gaoyao.png
gaoyi,高仪,,,礼部尚书,portrait_gaoyi.png
gaozhuo,高倬,,,蓟辽总督,portrait_gaozhuo.png
gecheng,葛诚,,,燕王朱棣府长史,portrait_gecheng.png
gehao,葛浩,,,浙江承宣布政使,portrait_gehao.png
gengbingwen,耿炳文,,,长兴侯,portrait_gengbingwen.png
gengdingxiang,耿定向,,,四月吏部尚书,portrait_gengdingxiang.png
gengjiuchou,耿九畴,,,南京刑部尚书,portrait_gengjiuchou.png
gengruqi,耿如杞,,,山西巡抚,portrait_gengruqi.png
gengtinglu,耿廷箓,,,耀州知州,portrait_gengtinglu.png
gengtong,耿通,,,工部尚书,portrait_gengtong.png
gengyu,耿裕,,,中进士,portrait_gengyu.png
gengzaicheng,耿再成,,德甫,高阳郡公,portrait_gengzaicheng.png
geshouli,葛守礼,,,巡抚,portrait_geshouli.png
gesong,葛嵩,,,外戚,portrait_gesong.png
gonganfu,贡安甫,,,兵部尚书刘大夏被太监,portrait_gonganfu.png
gongnai,公鼐,,,山东承宣布政使,portrait_gongnai.png
gongquanan,龚全安,,,士,portrait_gongquanan.png
guanbingzhong,官秉忠,,,总兵官,portrait_guanbingzhong.png
guangdegongzhu,广德公主,,,广德公主,portrait_guangdegongzhu.png
guangongzhu,固安公主,,,固安公主,portrait_guangongzhu.png
guanyongjie,关永杰,,,督师,portrait_guanyongjie.png
gubingqian,顾秉谦,,六吉,中极殿大学士,portrait_gubingqian.png
gucheng,顾成,,,镇远侯,portrait_gucheng.png
gucunren,顾存仁,,,浙江余姚知县,portrait_gucunren.png
gudayong,谷大用,,,司礼监太监,portrait_gudayong.png
gudazhang,顾大章,,,泉州府推官,portrait_gudazhang.png
gudingchen,顾鼎臣,,,礼部尚书,portrait_gudingchen.png
guie,桂萼,,子实,吏部尚书,portrait_guie.png
guiyanliang,桂彦良,,德偁,晋王府左长史,portrait_guiyanliang.png
guiyouguang,归有光,,熙甫,散文家,portrait_guiyouguang.png
guiyue,归钺,,,孝子,portrait_guiyue.png
guji,顾济,,,行人司行人,portrait_guji.png
gukexue,顾可学,,,士,portrait_gukexue.png
gulin,顾璘,,,南京刑部尚书,portrait_gulin.png
guocheng,郭成,,,四川都指挥使,portrait_guocheng.png
guodeng,郭登,,,定襄伯,portrait_guodeng.png
guodun,郭敦,,,巡抚,portrait_guodun.png
guohonghua,郭弘化,,,江西承宣布政使,portrait_guohonghua.png
guojin,郭琎,,,吏部尚书,portrait_guojin.png
guojingxiang,郭景祥,,,大都督,portrait_guojingxiang.png
guonan,郭楠,,,福建承宣布政使,portrait_guonan.png
guopu,郭朴,,,吏部尚书,portrait_guopu.png
guoshi,郭实,,,御史王麟趾因参劾湖广巡抚,portrait_guoshi.png
guoweijing,郭维经,,,督师,portrait_guoweijing.png
guoweixian,郭惟贤,,,在德安府的景王,portrait_guoweixian.png
guoxing,郭兴,,,功臣,portrait_guoxing.png
guoxu,郭绪,,,户部主事,portrait_guoxu.png
guoxun,郭循,,,郎中,portrait_guoxun.png
guoyi,郭义,,,安阳侯,portrait_guoyi.png
guoying,郭英,,,武定侯,portrait_guoying.png
guoyingpin,郭应聘,,君宾,南京兵部尚书,portrait_guoyingpin.png
guoyun,郭云,,,宣武将军,portrait_guoyun.png
guozhengyu,郭正域,,,礼部尚书,portrait_guozhengyu.png
guozi,郭资,,存性,都察院左佥都御史,portrait_guozi.png
guozixing,郭子兴,,,滁阳王,portrait_guozixing.png
guqing,顾清,,,十月与吏部尚书,portrait_guqing.png
gushi,顾时,,时举,济宁侯,portrait_gushi.png
guxiancheng,顾宪成,,叔时,吏部考功司主事,portrait_guxiancheng.png
guxichou,顾锡畴,,,士,portrait_guxichou.png
guyuncheng,顾允成,,,礼部主事,portrait_guyuncheng.png
guzuo,顾佐,,礼卿,都察院右都御史,portrait_guzuo.png
hanbangqi,韩邦奇,,,南京兵部尚书,portrait_hanbangqi.png
hanbangwen,韩邦问,,大经,庄僖,portrait_hanbangwen.png
hanghuanghou,杭皇后,,,皇后,portrait_hanghuanghou.png
hanguan,韩观,,,广西都指挥使,portrait_hanguan.png
hangxiong,杭雄,,,都督,portrait_hangxiong.png
hankuang,韩爌,,虞臣,礼部尚书,portrait_hankuang.png
hanshangongzhu,含山公主,,,含山公主,portrait_hanshangongzhu.png
hanyike,韩宜可,,,御史,portrait_hanyike.png
hanyong,韩雍,,永熙,都御史,portrait_hanyong.png
hanzheng,韩政,,,东平侯,portrait_hanzheng.png
haojie,郝杰,,,举人,portrait_haojie.png
haorui,海瑞,,汝贤,右佥都御史,portrait_haorui.png
hedongru,何栋如,,,同进士,portrait_hedongru.png
hefengsheng,贺逢圣,,克繇,翰林院编修,portrait_hefengsheng.png
hefu,何福,,,都督,portrait_hefu.png
hefu-2,何复,,,遣副将军,portrait_hefu_2.png
hehong,何洪,,,四川巡抚,portrait_hehong.png
hehuchen,贺虎臣,,,登莱参将,portrait_hehuchen.png
heiyunlong,黑云龙,,从吾,副总兵,portrait_heiyunlong.png
hejian,何鉴,,世光,浙江承宣布政使,portrait_hejian.png
hejingming,何景明,,仲默,陕西提学副使,portrait_hejingming.png
hekai,何楷,,,户部主事,portrait_hekai.png
hekegang,何可纲,,承渠,经历,portrait_hekegang.png
hemengchun,何孟春,,子元,南京工部左侍郎,portrait_hemengchun.png
heqiaoxin,何乔新,,廷秀,文肃,portrait_heqiaoxin.png
heqin,贺钦,,,成进士,portrait_heqin.png
heqing,何卿,,,四川都指挥使,portrait_heqing.png
herenlong,贺人龙,,,兴平伯,portrait_herenlong.png
heruchong,何如宠,,,户部尚书,portrait_heruchong.png
heshaozheng,何绍正,,,吏部尚书,portrait_heshaozheng.png
heshijin,何士晋,,,总督,portrait_heshijin.png
heshixian,贺世贤,,,副总兵,portrait_heshixian.png
hetai,贺泰,,,监察御史,portrait_hetai.png
hetang,何瑭,,,南京右都御史,portrait_hetang.png
hetengjiao,何腾蛟,,云从,中湘王,portrait_hetengjiao.png
hetianqu,何天衢,,,监察御史,portrait_hetianqu.png
hetingkui,何廷魁,,,泾县知县,portrait_hetingkui.png
hewenhui,何文辉,,,征南副将军,portrait_hewenhui.png
hewenyuan,何文渊,,巨川,吏部尚书,portrait_hewenyuan.png
hewuzou,何吾驺,,龙友、瑞虎,大学士,portrait_hewuzou.png
hexie,何燮,,,乙卯科举人,portrait_hexie.png
hexuan,何选,,,十月考选湖广道试御史,portrait_hexuan.png
heyong,和勇,,,左都督,portrait_heyong.png
hezhen,何真,,,东莞伯,portrait_hezhen.png
hezhong,何忠,,,拜监察御史,portrait_hezhong.png
